name,current_color,price,sale_price,badge,image_url,product_url,colors_available,sizes_available,rating,review_count,scraped_at
Suit Up Trouser (Regular) - Black,,$138,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W51432R_01_b2_s1_a1_1_m241_320x.jpg?v=1745619742,https://www.aloyoga.com/products/w51432r-suit-up-trouser-black,"Black, Black, Navy, Green Olive",,,,2025-09-06 14:02:26
ALO Softsculpt Precision 1/4 Zip Long Sleeve - Green Olive,,$98,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W3967R_06464_b1_s1_a1_m207_17839c69-dd3f-4bbb-91db-7d300eccfdf2_320x.jpg?v=1755862802,https://www.aloyoga.com/products/w3967r-alo-softsculpt-precision-1-4-zip-long-sleeve-green-olive,"Green Olive, Green Olive, Black",,,,2025-09-06 14:02:27
ALO Softsculpt High-Waist Legging - Green Olive,,$108,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W54234R_06464_b1_s1_a2_m191_320x.jpg?v=1755906204,https://www.aloyoga.com/products/w54234r-alo-softsculpt-high-waist-legging-green-olive,"Green Olive, Green Olive, Black",,,,2025-09-06 14:02:27
Accolade Crew Neck Pullover - Black,,$128,,,https://cdn.shopify.com/s/files/1/2185/2813/files/U3031RG_01_b2_s1_a1_1_m54_bba05778-8178-4d1d-8c4d-193454d5e3f3_320x.jpg?v=1745647123,https://www.aloyoga.com/products/u3031rg-accolade-crew-neck-pullover-black,"Black, 9, 9, Black, Espresso, Athletic Heather Grey, Gravel, Anthracite, White, Pink Wild Rose",,,,2025-09-06 14:02:28
ALO Sunset Sneaker - Black,,$225,,,https://cdn.shopify.com/s/files/1/2185/2813/files/A0891U_01_b2_s1_a1_m51_80870d6f-5ce1-4229-a0fd-518d15f331ce_320x.jpg?v=1753741023,https://www.aloyoga.com/products/a0891u-alo-sunset-sneaker-black,"Black, Black, Sandstone",,,,2025-09-06 14:02:29
Airbrush Heart Throb Bra - Green Olive/Black,,$78,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W9680R_06552_b2_s1_a1_m235_320x.jpg?v=1755865946,https://www.aloyoga.com/products/w9680r-airbrush-heart-throb-bra-green-olive-black,"Green Olive/Black, Green Olive/Black, Black/White, White/Black, Pink Wild Rose/White",,,,2025-09-06 14:02:29
Unisex Half-Crew Throwback Sock - Green Olive/White,,$32,,,https://cdn.shopify.com/s/files/1/2185/2813/files/A0480U_06519_b1_s1_a1_320x.jpg?v=1755859382,https://www.aloyoga.com/products/a0480u-unisex-half-crew-throwback-sock-green-olive-white,"Green Olive/White, 14, 14, Green Olive/White, White/Black, White/Titanium, Bone/White, Black/White, Athletic Heather Grey/White, White/Navy",,,,2025-09-06 14:02:30
ALO Softsculpt Precision Bra - Green Olive,,$64,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W9858R_06464_b2_s1_a1_m254_35a896a4-e4db-47c9-93a2-1a74c2c3df81_320x.jpg?v=1757007628,https://www.aloyoga.com/products/w9858r-alo-softsculpt-precision-bra-green-olive,"Green Olive, Green Olive, Black",,,,2025-09-06 14:02:30
Match Point Short - Green Olive,,$68,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W6334R_06464_b2_s1_a1_m176_320x.jpg?v=1755864341,https://www.aloyoga.com/products/w6334r-match-point-short-green-olive,"Green Olive, Green Olive, Black, Navy, Lunar Grey, Pink Wild Rose",,,,2025-09-06 14:02:31
Splendor Bra - Black,,$58,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W9351RG_0100_b2_s1_a1_1_m239_320x.jpg?v=1756828086,https://www.aloyoga.com/products/w9351rg-splendor-bra-black,"Black, Black, White/Black, Lunar Grey/White",,,,2025-09-06 14:02:32
Accolade Straight Leg Sweatpant - Black,,$128,,,https://cdn.shopify.com/s/files/1/2185/2813/files/U5013RG_01_b2_s1_a1_1_m239_320x.jpg?v=1756826804,https://www.aloyoga.com/products/u5012rg-accolade-straight-leg-sweatpant-black,"Black, 7, 7, Black, Espresso, Athletic Heather Grey, Gravel, Winter Ivy, Mushroom, Green Olive",,,,2025-09-06 14:02:32
Serenity Wide Leg Sweatpant - Ivory,,$118,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W54162R_03299_b2_s1_a1_1_m190_320x.jpg?v=1756827360,https://www.aloyoga.com/products/w54162r-serenity-wide-leg-sweatpant-ivory,"Ivory, Ivory, Black, Charcoal Green, Athletic Heather Grey",,,,2025-09-06 14:02:33
ALO Sunset Sneaker - Sandstone,,$225,,,https://cdn.shopify.com/s/files/1/2185/2813/files/A0891U_0777_b2_s1_a1_m18_320x.jpg?v=1753723181,https://www.aloyoga.com/products/a0891u-alo-sunset-sneaker-sandstone,"Sandstone, Sandstone, Black",,,,2025-09-06 14:02:33
Ribbed Prosper Tank - Black,,$68,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W2799R_01_b1_s1_a1_m54_b637ba34-6237-4ac1-afd2-ecb7646b84df_320x.jpg?v=1756827701,https://www.aloyoga.com/products/w2799r-ribbed-prosper-tank-black,"Black, Black, White, Lunar Grey",,,,2025-09-06 14:02:34
Pinstripe Daylight Boxer Pant (Regular) - Black/Titanium,,$148,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W54260R_01407_b1_s1_a2_m177_320x.jpg?v=1754953605,https://www.aloyoga.com/products/w54260r-pinstripe-daylight-boxer-pant-regular-black-titanium,"Black/Titanium, Black/Titanium, Lunar Grey/White",,,,2025-09-06 14:02:35
Accolade Full Zip Hoodie - Black,,$138,,,https://cdn.shopify.com/s/files/1/2185/2813/files/U3041RG_01_b2_s1_a1_1_m54_e3be4d06-ef29-4002-8033-caccf9bd4a97_320x.jpg?v=1745621026,https://www.aloyoga.com/products/u3041rg-accolade-full-zip-hoodie-black,"Black, Black, Athletic Heather Grey, Macadamia",,,,2025-09-06 14:02:35
Match Point Short - Black,,$68,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W6334R_01_b2_s1_a1_1_m239_320x.jpg?v=1756827958,https://www.aloyoga.com/products/w6334r-match-point-short-black,"Black, Black, Navy, Green Olive, Lunar Grey, Pink Wild Rose",,,,2025-09-06 14:02:36
Sweet Escape Zip Up Hoodie - Black,,$108,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W3859R_01_b2_s1_a1_1_m240_320x.jpg?v=1756922147,https://www.aloyoga.com/products/w3859r-sweet-escape-zip-up-hoodie-black,"Black, Black, Ivory, Pink Wild Rose, Taupe, Grey Sky Wash, Athletic Heather Grey, Gravel, Crystal Clear Blue",,,,2025-09-06 14:02:37
Match Point Tennis Skirt - Black,,$68,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W6240R_01_b1_s1_a1_1_m76_320x.jpg?v=1740693307,https://www.aloyoga.com/products/w6240r-match-point-tennis-skirt-black,"Black, Black, White, Pink Wild Rose",,,,2025-09-06 14:02:37
Airbrush Heart Throb Bra - Black/White,,$78,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W9680R_0100_b2_s1_a1_1_m18_320x.jpg?v=1750102671,https://www.aloyoga.com/products/w9680r-airbrush-heart-throb-bra-black-white,"Black/White, Black/White, White/Black, Green Olive/Black, Pink Wild Rose/White",,,,2025-09-06 14:02:38
Airbrush High-Waist Heart Throb Legging - Black/White,,$128,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W51298R_0100_b2_s1_a1_1_m54_320x.jpg?v=1747265525,https://www.aloyoga.com/products/w51298r-airbrush-high-waist-heart-throb-legging-black-white,"Black/White, Black/White, White/Black, Green Olive/Black, Pink Wild Rose/White",,,,2025-09-06 14:02:38
ALO Runner - White/White,,$185,,,https://cdn.shopify.com/s/files/1/2185/2813/files/A0590U_00000_b1_s1_a1_47d6356e-8d05-4775-800e-0383fe135308_320x.jpg?v=1739918726,https://www.aloyoga.com/products/a0590u-alo-runner-white-white,"White/White, 4, 4, White/White, Black/Black, Green Olive, Seashell Blue, Navy, Crystal Clear Blue, Grey/Grey",,,,2025-09-06 14:02:39
Scholar Knit Cropped Full Zip Jacket - Green Olive,,$188,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W4601R_06464_b1_s1_a2_m240_966363b4-ea1b-49a1-80b5-5c9e02fca2a4_320x.jpg?v=1756250502,https://www.aloyoga.com/products/w4601r-scholar-knit-cropped-full-zip-jacket-green-olive,"Green Olive, Green Olive, Espresso, Black, Ivory, Athletic Heather Grey",,,,2025-09-06 14:02:40
Airlift Line Up Bra - Black,,$88,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W9681R_01_b2_s1_a1_1_m54_ea0e3736-d2d0-41cb-9398-045cf393d298_320x.jpg?v=1745620634,https://www.aloyoga.com/products/w9681r-airlift-line-up-bra-black,"Black, Black, Navy, Charcoal Green, Taupe, Lunar Grey",,,,2025-09-06 14:02:40
Airlift High-Waist 7/8 Line Up Legging - Black,,$138,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W51154R_01_b2_s1_a1_1_m54_bf3430e7-3f9e-419f-ba42-ac40de8ffcbc_320x.jpg?v=1745619517,https://www.aloyoga.com/products/w51154r-airlift-high-waist-7-8-line-up-legging-black,"Black, Black, Navy, Taupe, Bold Red, Charcoal Green, Lunar Grey, Smoky Quartz",,,,2025-09-06 14:02:41
Accolade 1/4 Zip Pullover - Athletic Heather Grey,,$138,,,https://cdn.shopify.com/s/files/1/2185/2813/files/U3040RG_02910_b2_s1_a1_1_m54_320x.jpg?v=1747166287,https://www.aloyoga.com/products/u3040rg-accolade-1-4-zip-pullover-athletic-heather-grey,"Athletic Heather Grey, Athletic Heather Grey, Black, Navy, Anthracite, Winter Ivy",,,,2025-09-06 14:02:41
Accolade Straight Leg Sweatpant - Athletic Heather Grey,,$128,,,https://cdn.shopify.com/s/files/1/2185/2813/files/U5012RG_02910_b1_s1_a1_1_m54_a4acae19-2f53-4edc-84c4-ff3a45259590_320x.jpg?v=1714161881,https://www.aloyoga.com/products/u5012rg-accolade-straight-leg-swtpnt-athletic-heather-grey,"Athletic Heather Grey, 7, 7, Athletic Heather Grey, Black, Espresso, Gravel, Winter Ivy, Mushroom, Green Olive",,,,2025-09-06 14:02:42
Match Point Short - Lunar Grey,,$68,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W6334R_06461_b2_s1_a1_m240_320x.jpg?v=1754634947,https://www.aloyoga.com/products/w6334r-match-point-short-lunar-grey,"Lunar Grey, Lunar Grey, Black, Navy, Green Olive, Pink Wild Rose",,,,2025-09-06 14:02:43
ALO Runner - Black/Black,,$185,,,https://cdn.shopify.com/s/files/1/2185/2813/files/A0590U_01010_b1_s1_a1_2e75864b-d696-40a3-bcb7-8d5b713206e5_320x.jpg?v=1739918924,https://www.aloyoga.com/products/a0590u-alo-runner-black-black,"Black/Black, 4, 4, Black/Black, White/White, Green Olive, Seashell Blue, Navy, Crystal Clear Blue, Grey/Grey",,,,2025-09-06 14:02:43
Aspire Tank - Black/White,,$58,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W2675RG_01_b2_s1_a1_m224_320x.jpg?v=1748633413,https://www.aloyoga.com/products/w2675rg-aspire-tank-black-white,"Black/White, Black/White, White/Black, Pink Wild Rose/White",,,,2025-09-06 14:02:44
Serenity Wide Leg Sweatpant - Black,,$118,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W54162R_01_b2_s1_a1_1_m229_bc2057f2-a51d-48a0-b4d4-54fbd7a6cf6a_320x.jpg?v=1747265733,https://www.aloyoga.com/products/w54162r-serenity-wide-leg-sweatpant-black,"Black, Black, Ivory, Charcoal Green, Athletic Heather Grey",,,,2025-09-06 14:02:45
Off-Duty Cap - Black/Black,,$58,,,https://cdn.shopify.com/s/files/1/2185/2813/products/W7112R_0101_b1_a1_320x.jpg?v=1672871437,https://www.aloyoga.com/products/w7112r-off-duty-cap-black-black,"Black/Black, Black/Black, Ballet Pink, Bright White/White",,,,2025-09-06 14:02:45
Accolade Crew Neck Pullover - Pink Wild Rose,,$128,,,https://cdn.shopify.com/s/files/1/2185/2813/files/U3031RG_06463_b2_s1_a1_m143_320x.jpg?v=1753429319,https://www.aloyoga.com/products/u3031rg-accolade-crew-neck-pullover-pink-wild-rose,"Pink Wild Rose, 9, 9, Pink Wild Rose, Black, Espresso, Athletic Heather Grey, Gravel, Anthracite, White",,,,2025-09-06 14:02:46
Alosoft Heart Throb Bra - Athletic Heather Grey/White,,$78,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W9811R_06509_b2_s1_a1_2_m238_320x.jpg?v=1749249217,https://www.aloyoga.com/products/w9811r-alosoft-heart-throb-bra-athletic-heather-grey-white,"Athletic Heather Grey/White, Athletic Heather Grey/White",,,,2025-09-06 14:02:46
Alosoft High-Waist Heart Throb Legging - Athletic Heather Grey/White,,$128,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W54172R_06509_b1_s1_a1_2_m191_320x.jpg?v=1749244003,https://www.aloyoga.com/products/w54172r-alosoft-high-waist-heart-throb-legging-athletic-heather-grey-white,"Athletic Heather Grey/White, Athletic Heather Grey/White, Seashell Blue Heather/White",,,,2025-09-06 14:02:47
All Day Short Sleeve - White,,$58,,,https://cdn.shopify.com/s/files/1/2185/2813/products/W1430R_00_b1_s1_a1_1_m18_320x.jpg?v=1739423704,https://www.aloyoga.com/products/w1430r-all-day-short-sleeve-white,"White, White, Black, Lunar Grey",,,,2025-09-06 14:02:48
Match Point Tennis Skirt - White,,$68,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W6240R_00_b2_s1_a1_m241_320x.jpg?v=1745619070,https://www.aloyoga.com/products/w6240r-match-point-tennis-skirt-white,"White, White, Black, Pink Wild Rose",,,,2025-09-06 14:02:48
Airlift Line Up Bra - Navy,,$88,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W9533R_03842_b2_s1_a1_1_m254_320x.jpg?v=1756165174,https://www.aloyoga.com/products/w9533r-airlift-line-up-bra-navy,"Navy, Navy, Black, Charcoal Green, Taupe, Lunar Grey",,,,2025-09-06 14:02:49
Airlift High-Waist 7/8 Line Up Legging - Navy,,$138,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W51154R_03842_b2_s1_a8_1_m254_320x.jpg?v=1756165176,https://www.aloyoga.com/products/w51154r-airlift-high-waist-7-8-line-up-legging-navy,"Navy, Navy, Black, Taupe, Bold Red, Charcoal Green, Lunar Grey, Smoky Quartz",,,,2025-09-06 14:02:49
Hazy Mock Neck Pullover - Black,,$118,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W3845R_01_b1_s1_a1_1_m91_320x.jpg?v=1734051657,https://www.aloyoga.com/products/w3845r-hazy-mock-neck-pullover-black,"Black, Black, Athletic Heather Grey, Ivory, Dark Athletic Heather Grey, Light Athletic Heather Grey",,,,2025-09-06 14:02:50
