product_id,name,price,currency,variant,brand,category,available_colors,url,image_url
1-1100-011756-0002,Buckle Detail Slingback Flats,59.95,,Black,,,Black,https://www.na-kd.com/en/products/buckle-detail-slingback-flats-black-1100-011756-0002,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/sara_yaben_1100-011756-0002_social.jpeg?ref=87FB65F2CB"
1-1100-010945-0002,Knitted Tube Maxi Dress,85.95,,Black,,,"Black, Beige",https://www.na-kd.com/en/products/knitted-tube-maxi-dress-black-1100-010945-0002,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/knitted_tube_maxi_dress_1100-010945-0002_curated.jpg?ref=BAFEDD6B9B"
1-1100-011795-0001,Knitted Wool Blend Pointelle Sweater,49.95,,White,,,"Offwhite, Brown",https://www.na-kd.com/en/products/knitted-wool-blend-pointelle-sweater-white-1100-011795-0001,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/knitted_wool_blend_pointelle_sweater_1100-011795-00010043.jpg?ref=0ADBAC534D"
1-1100-011840-0001,Wide Leg Mid Waist Pocket Detail Pants,59.95,,White,,,White,https://www.na-kd.com/en/products/wide-leg-mid-waist-pocket-detail-pants-white-1100-011840-0001,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/wide_leg_mid_waist_pocket_detail_pants_1100-011840-0001_curated2.jpg?ref=7E10E9A144"
1-1100-008952-0001,Oversized Linen Blend Shirt,49.95,,White,,,"Offwhite, Stripe / Beige, Stripe / Beige, Stripe, Beige",https://www.na-kd.com/en/products/oversized-linen-blend-shirt-white-1100-008952-0001,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/margauxbtn_1100-008952-0001_social.jpg?ref=9A8A41DBA5"
1-1100-011776-0004,Knitted Flounce Detail Sweater,49.95,,Red,Shpresa x NA-KD,,"Burgundy, Offwhite",https://www.na-kd.com/en/products/knitted-flounce-detail-sweater-red-1100-011776-0004,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/knitted_flounce_detail_sweater_1100-011776-0004_5_campaign.jpg?ref=E8381323F6"
1-1100-011059-0260,Crochet Ballerina,85.95,,Offwhite,,,"Offwhite, Black",https://www.na-kd.com/en/products/crochet-ballerina-offwhite-1100-011059-0260,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/blancaarimany_1100-011059-0260_social.jpg?ref=EB9E176D67"
1-1018-008235-1478,Low Waist Jeans,75.95,,Rinse Wash,,,"Dark Blue, Dark Grey, Light Blue, Blue, Dark Blue, Black, Mid Blue, Light Grey",https://www.na-kd.com/en/products/low-waist-jeans-rinse-wash-1018-008235-1478,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/low_waist_jeans-1018-008235-1478_22225.jpg?ref=E25DFF87FA"
1-1100-011627-0047,Low Waist Raw Hem Denim Shorts,49.95,,Light Blue,,,"Light Blue, Blue",https://www.na-kd.com/en/products/low-waist-ram-hem-denim-shorts-light-blue-1100-011627-0047,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/low_waist_raw_hem_denim_shorts_1100-011627-0047_curated.jpg?ref=26C65B7BD7"
1-1100-012377-0017,Draped Jersey Top,39.95,,Brown,,,"Brown, Black, Beige",https://www.na-kd.com/en/products/draped-jersey-top-brown-1100-012377-0017,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/draped_jersey_top_1100-012377-0017_curated.jpg?ref=568AF8779B"
1-1100-009629-0366,Wide Mid Waist Pants,59.95,,Dark Grey,,,"Dark Grey, Brown, Dark Beige, Light Grey",https://www.na-kd.com/en/products/melange-mid-waist-pants-dark-grey-1100-009629-0366,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/wide_mid_waist_pants_1100-009629-0366_curated.jpg?ref=4FB07D729C"
1-1100-011710-0002,Sheer Midi Skirt,49.95,,Black,,,"Black, Brown",https://www.na-kd.com/en/products/sheer-midi-skirt-black-1100-011710-0002,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/lamour.olya_1100-011710-0002_social2.jpg?ref=BC372F260A"
1-1100-012254-0038,Mid Waist Wide Leg Structured Denim,75.95,,Dark Blue,,,Dark Blue,https://www.na-kd.com/en/products/mid-waist-wide-leg-structured-denim-dark-blue-1100-012254-0038,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/mid_waist_wide_leg_structured_denim_1100-012254-0038_0049_flatlayf_1.jpg?ref=4C819C8C50"
1-1100-011879-9326,Big Triangular Suede Tote,149.95,,DK Brown,,,"Brown, Black",https://www.na-kd.com/en/products/big-triangular-suede-tote-dk-brown-1100-011879-9326,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/sara_yaben_1100-011879-9326_social.jpeg?ref=5FBAEFA471"
1-1018-010207-1198,Loose Low Waist Long Jeans,59.95,,Washed Black,,,"Black, Blue, White, Dark Blue, Mid Blue, Light Grey, Dark Grey",https://www.na-kd.com/en/products/loose-low-waist-long-jeans-washed-black-1018-010207-1198,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/miatidemann_1018-010207-1198_social.jpg?ref=121C16884F"
1-1100-012098-0008,Fitted Melange Blazer,95.95,,Grey,,,Grey,https://www.na-kd.com/en/products/fitted-melange-blazer-grey-1100-012098-0008,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/fitted_melnage_blazer-1100-012098-0008_0570_campaign.jpg?ref=B0A9635A49"
1-1100-011677-0119,Plisse Short Sleeve Shirt,49.95,,Taupe,,,Light Taupe,https://www.na-kd.com/en/products/plisse-short-sleeve-shirt-taupe-1100-011677-0119,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/plisse_short_sleeve_shirt_1100-011677-0119_curated.jpg?ref=4A6E91E0FA"
1-1100-011684-0260,Knitted Round Neck Cardigan,49.95,,Offwhite,,,"Offwhite, Black",https://www.na-kd.com/en/products/knitted-round-neck-cardigan-offwhite-1100-011684-0260,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/knitted_round_neck_cardigan_1100-011684-0260_0017.jpg?ref=B226A9C11D"
