product_id,name,color,price,available_colors,url,image_url
womens-halo-performance-hoodie-2-0-black-heather,Halo Performance Hoodie 2.0,Black Heather,$98,"Black Heather, Pale Grey Heather, Midnight Heather, Spring Heather, Huckleberry Heather, Sea Spray Heather",https://vuoriclothing.com/products/womens-halo-performance-hoodie-2-0-black-heather?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW268HBK_FA25_W_ECOMM_LAYERS_FRONT_1.jpg?v=1751489275&width=800&height=1000&crop=center
womens-villa-low-slung-trouser-black,Villa Low Slung Trouser,Black,$118,"Black, Cavern Grey, Vintage Rose",https://vuoriclothing.com/products/womens-villa-low-slung-trouser-black?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW4361BLK_FA25_W_BOTTOMS_FRONT_2.jpg?v=1752692948&width=800&height=1000&crop=center
womens-halo-foldover-pant-black-heather,Halo Foldover Pant,Black Heather,$108,"Black Heather, Pale Grey Heather, Chocolate Milk Heather",https://vuoriclothing.com/products/womens-halo-foldover-pant-black-heather?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW4339HBK_SP25_W_ECOMM_BOTTOMS_SIDE_2.jpg?v=1743551672&width=800&height=1000&crop=center
womens-vuori-allthefeels-bra-black,Vuori AllTheFeels™ Bra,Black,$58,"Black, Java, Kale, Sea Spray, Blue Coast, Magenta, White",https://vuoriclothing.com/products/womens-vuori-allthefeels-bra-black?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW1099BLK_SP25_W_ECOMM_BRAS_FRONT_2.jpg?v=1734031722&width=800&height=1000&crop=center
womens-villa-cargo-jogger-black,Villa Cargo Jogger,Black,$118,Black,https://vuoriclothing.com/products/womens-villa-cargo-jogger-black?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW4056BLK_SP24_W_ECOMM_PANTS_SIDE_5.jpg?v=1706902529&width=800&height=1000&crop=center
womens-long-sleeve-seamless-surge-tee-white,Long Sleeve Seamless Surge Tee,White,$74,"White, Black, Raisin",https://vuoriclothing.com/products/womens-long-sleeve-seamless-surge-tee-white?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW1198WHT_SP25_W_ECOMM_TOPS_DETAIL_8.jpg?v=1741891312&width=800&height=1000&crop=center
womens-short-sleeve-feather-classic-tee-washed-black,Short Sleeve Feather Classic Tee,Washed Black,$58,"Washed Black, Crystal Blue, Rum, White Heather Grey, White",https://vuoriclothing.com/products/womens-short-sleeve-feather-classic-tee-washed-black?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW1393WBL_FA25_W_ECOMM_TOPS_FRONT_3.jpg?v=1752848027&width=800&height=1000&crop=center
womens-vuori-allthefeels-crew-tank-black,Vuori AllTheFeels™ Crew Tank,Black,$68,"Black, White, Kale, Sea Spray",https://vuoriclothing.com/products/womens-vuori-allthefeels-crew-tank-black?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW1249BLK_FA24_W_ECOMM_TOPS_CREATIVE_3.jpg?v=1720479123&width=800&height=1000&crop=center
womens-villa-sport-trouser-pant-ink,Villa Sport Trouser Pant,Ink,$128,"Ink, Viridian",https://vuoriclothing.com/products/womens-villa-sport-trouser-pant-ink?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW4195INK_FA25_W_ECOMM_BOTTOMS_SIDE_4.jpg?v=1750438661&width=800&height=1000&crop=center
womens-vuori-allthefeels-halter-java,Vuori AllTheFeels™ Halter,Java,$68,"Java, Black, White",https://vuoriclothing.com/products/womens-vuori-allthefeels-halter-java?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW1398JAV_FA25_W_TOPS_DETAIL_9.jpg?v=1755540025&width=800&height=1000&crop=center
womens-restore-oversized-hoodie-light-mist,Restore Oversized Hoodie,Light Mist,$134,"Light Mist, Pale Grey Heather, Washed Black, Bright Iris, Huckleberry, Vintage Rose",https://vuoriclothing.com/products/womens-restore-oversized-hoodie-light-mist?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW2002LMI_SP25_W_ECOMM_LAYERS_CREATIVE_12.jpg?v=1746038605&width=800&height=1000&crop=center
womens-vuori-allthefeels-triangle-bra-blue-coast,Vuori AllTheFeels™ Triangle Bra,Blue Coast,$58,"Blue Coast, Crystal Blue",https://vuoriclothing.com/products/womens-vuori-allthefeels-triangle-bra-blue-coast?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW1371BCO_FA25_W_ECOMM_BRAS_DETAIL_10.jpg?v=1752782678&width=800&height=1000&crop=center
womens-boyfriend-jogger-black-heather,Boyfriend Sweatpant,Black Heather,$98,"Black Heather, Heather Grey",https://vuoriclothing.com/products/womens-boyfriend-jogger-black-heather?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW457HBK_SP24_W_ECOMM_PANTS_FRONT_1.jpg?v=1715188449&width=800&height=1000&crop=center
womens-halo-modern-pullover-hoodie-blue-coast-heather,Halo Modern Pullover Hoodie,Blue Coast Heather,$108,"Blue Coast Heather, Black Heather, Huckleberry Heather",https://vuoriclothing.com/products/womens-halo-modern-pullover-hoodie-blue-coast-heather?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW2041BTH_FA25_W_LAYERS_FRONT_2.jpg?v=1755180806&width=800&height=1000&crop=center
womens-dash-elevate-short-3-talc,"Dash Elevate Short 3""",Talc,$68,"Talc, Desert Peach",https://vuoriclothing.com/products/womens-dash-elevate-short-3-talc?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW3081TLC_FA25_W_ECOMM_BOTTOMS_DETAIL_9_cb711c01-5028-421d-b3de-41d2b1081bfd.jpg?v=1753901534&width=800&height=1000&crop=center
womens-vuori-allthefeels-cami-java,Vuori AllTheFeels™ Cami,Java,$74,"Java, Blue Coast, Black, Crystal Blue, White",https://vuoriclothing.com/products/womens-vuori-allthefeels-cami-java?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW1355JAV_FA25_W_ECOMM_TOPS_CREATIVE_12.jpg?v=1750202722&width=800&height=1000&crop=center
womens-restore-half-zip-hoodie-light-heather-grey,Restore Half Zip Hoodie,Light Heather Grey,$118,"Light Heather Grey, Washed Black, White",https://vuoriclothing.com/products/womens-restore-half-zip-hoodie-light-heather-grey?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW288LHG_SP25_W_ECOMM_LAYERS_FRONT_2_c6f52f1c-f37a-4a26-a8e0-6d4d5ecb74bf.jpg?v=1746037635&width=800&height=1000&crop=center
womens-sedona-cardigan-bone,Sedona Cardigan,Bone,$124,"Bone, Light Heather Grey",https://vuoriclothing.com/products/womens-sedona-cardigan-bone?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW2045BNE_FA25_W_ECOMM_LAYERS_FRONT_2.jpg?v=1750265583&width=800&height=1000&crop=center
womens-daily-layered-tank-viridian,Daily Layered Tank,Viridian,$68,"Viridian, Black, Marshmallow",https://vuoriclothing.com/products/womens-daily-layered-tank-viridian?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW1390VRI_FA25_W_ECOMM_TOPS_FRONT_1.jpg?v=1750205344&width=800&height=1000&crop=center
womens-short-sleeve-pose-button-up-black,Short Sleeve Pose Button Up,Black,$58,"Black, Mushroom, White Heather Grey",https://vuoriclothing.com/products/womens-short-sleeve-pose-button-up-black?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW1394BLK_FA25_W_ECOMM_TOPS_FRONT_3.jpg?v=1752849704&width=800&height=1000&crop=center
womens-daily-skirt-black,Daily Skirt,Black,$68,"Black, White, Light French Blue",https://vuoriclothing.com/products/womens-daily-skirt-black?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW3102BLK_FA24_W_ECOMM_SKIRTS_FRONT_2.jpg?v=1717804216&width=800&height=1000&crop=center
womens-long-sleeve-halo-crew-sea-spray-heather,Long-Sleeve Halo Crew,Sea Spray Heather,$96,"Sea Spray Heather, Pale Grey Heather, Black Heather, Bright Iris Heather, Ecru Heather, Nutmeg Heather",https://vuoriclothing.com/products/womens-long-sleeve-halo-crew-sea-spray-heather?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW241HSS_FA25_W_ECOMM_LAYERS_FRONT_2.jpg?v=1750975050&width=800&height=1000&crop=center
womens-pose-plyo-tank-white-heather-grey,Pose Plyo Tank,White Heather,$64,"White Heather, Black, Chia, Java",https://vuoriclothing.com/products/womens-pose-plyo-tank-white-heather-grey?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW1009WHG_FA25_W_TOPS_FRONT_1.jpg?v=1751499867&width=800&height=1000&crop=center
womens-halo-modern-strght-leg-pant-s-solid-black,Halo Modern Straight Leg Pant-Short,Solid Black,$108,"Solid Black, Bluegrass Heather",https://vuoriclothing.com/products/womens-halo-modern-strght-leg-pant-s-solid-black?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW4313SBK_FA25_W_BOTTOMS_SIDE_3.jpg?v=1756244343&width=800&height=1000&crop=center
womens-cove-boyfriend-tank-espresso,Cove Boyfriend Tank,Espresso,$54,"Espresso, Bluebell, Black, Light Heather Grey, White",https://vuoriclothing.com/products/womens-cove-boyfriend-tank-espresso?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW1266ESP_FA25_W_ECOMM_TOPS_FRONT_4.jpg?v=1752773966&width=800&height=1000&crop=center
womens-bayside-jacket-blue-coast,Bayside Jacket,Blue Coast,$168,"Blue Coast, White",https://vuoriclothing.com/products/womens-bayside-jacket-blue-coast?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW5071BCO_FA25_W_ECOMM_OUTERWEAR_FRONT_1.jpg?v=1754332842&width=800&height=1000&crop=center
